Gene Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8
BTLA	4.8717613	5.169296	16.460997	55.59391	9.177423	0.6675391	11.825752	10.557464
BTN2A1	55.910492	98.316826	59.609856	147.46574	61.333748	84.542854	39.614773	80.53895
BTN3A1	6.1360044	27.282013	20.464535	37.903873	16.323895	22.204159	22.464243	12.792052
BTNL3	48.34064	28.718473	38.91868	22.915527	30.396955	29.659899	33.21704	29.392323
BTRC	11.05308	12.757065	2.8152816	12.483599	12.819116	8.351414	10.812035	12.8459635
BUB1	6.7223797	1.8219656	7.771437	79.69962	17.412457	0.7056529	6.1939216	2.615979
BUB1B	2.5057876	7.6531615	31.260496	111.62519	34.58649	2.7744403	16.48197	11.696977
BUB3	178.50125	240.48714	101.87929	321.61737	183.58078	184.04764	145.58391	155.3848
BUD31	83.45102	112.314476	117.33228	120.07318	124.10775	175.73567	84.469696	119.23261
BVES	12.86367	11.166	11.222433	16.743145	20.538002	21.879133	21.060133	13.291299
BXDC2	20.594507	32.00732	35.896626	37.10926	28.913689	29.800339	23.473003	30.739697
BXDC5	96.68023	76.71292	98.01458	165.93602	140.17717	106.97413	95.30525	75.993416
BYSL	8.293536	6.6600976	19.320469	34.2848	35.872883	30.758053	21.583488	12.779778
BZW1	114.03105	157.5671	164.966	203.50073	343.74817	169.43437	57.851345	89.733536
C1D	66.08577	97.83061	54.833458	102.47089	99.99982	91.753975	51.510628	62.548748
C1GALT1	89.178856	101.59579	26.70591	65.07406	100.10038	107.44778	62.413616	73.64027
C1QA	118.14009	91.51495	26.872456	115.26552	59.366547	67.8953	83.33081	73.94332
C1QB	105.74122	85.99895	30.138184	50.03618	48.752552	50.354103	82.229324	56.009518
C1QBP	84.5284	101.253685	112.30743	162.30983	142.09703	91.09194	108.6956	98.01963
C1QC	345.5603	310.1916	77.97893	227.11394	100.38292	156.27502	198.82506	179.41661
C1QL1	54.535076	101.23585	24.278564	25.475554	20.390451	58.984406	28.227785	34.89496
C1QTNF2	2.298452	0.6754626	1.473088	0.8235657	13.610104	1.1201595	12.484007	1.6391122
C1QTNF7	4.6476703	4.228024	26.641891	10.163009	19.633034	10.787737	18.386986	4.7784443
C1R	48.82334	38.069767	220.41469	149.38603	283.9817	31.008202	310.6457	26.710182
C1RL	7.7912707	12.841869	39.37725	57.736835	137.73691	25.057192	59.20732	17.056759
C1S	9.288546	0.51615626	24.142208	17.472462	65.84627	2.3798723	5.6613426	1.6926748
C2	6.673276	0.97328013	0.5011686	6.903477	6.746348	1.6572266	4.270449	8.513331
C3	558.5642	625.6089	114.35413	548.57117	400.3429	280.28467	318.82703	198.30463
C3AR1	77.40476	68.12032	22.328281	23.34471	23.818304	52.522697	18.412546	42.45004
C4BPA	2.9088144	5.7504215	16.581867	29.685774	19.166136	5.620664	5.40459	9.564718
C4BPB	1.0000168	1.3860793	1.2660655	0.6369521	2.44159	2.4676878	1.8459675	0.71017504
C5	20.215332	23.25711	12.215059	12.369724	29.18083	17.588648	12.4158125	20.54894
C5AR1	30.375296	20.147121	1.0025932	22.886164	20.347738	25.79351	16.271437	6.2678804
C6	6.2185993	4.177543	32.31307	23.234995	25.565712	5.615123	39.223663	5.0223784
C7	23.266926	18.533154	14.342734	34.472027	105.1395	11.919391	54.8397	1.6611433
C8A	3.448006	2.264723	3.3835485	3.708241	7.1022496	6.211091	2.3397758	17.464296
C8B	4.7517133	17.045721	4.5303097	11.321775	8.954322	19.139427	6.2927775	9.927643
C8G	1.204361	2.1255372	7.136578	0.9603146	1.0783402	2.2071445	1.4105195	4.570257
C9	0.23564978	0.8579689	1.0942444	3.6603909	0.24683656	0.3182338	2.925882	1.3344752
CA1	12.775751	14.5643635	17.347319	17.42529	15.94895	12.177344	13.874849	8.362439
CA11	92.315346	125.98143	46.783043	31.641949	46.444035	119.518524	36.503742	119.65059
CA12	34.90539	36.373146	336.64166	52.831364	985.3567	46.25529	631.73694	47.322334
CA14	82.20213	122.4556	18.096426	3.6932197	4.206905	67.80708	16.326914	77.85485
CA2	735.6654	593.7736	34.237892	14.793559	202.70134	862.0952	56.48483	543.53143
CA3	1.9613842	9.617329	115.69578	1.5915511	418.57617	7.773691	609.6723	5.928767
CA4	15.632651	23.795065	17.690752	0.67546326	11.8361025	21.665865	30.064062	17.282892
CA5A	12.854642	15.368935	1.7657261	7.9399037	6.267338	1.6807902	1.6507864	9.514562
